ID INCIDENT;PERIMETRO BDT;CLASSE ITIL;PRIORITA DI APERTURA INCIDENT;Num. Passaggi;NUM Presa In Carico;Tempo medio di presa in carico;Tempo medio di gestione;Tempo totale di gestione incident;Rispetto SLA Competenza Gruppo;Sforamento SLA (ore);Data creazione
INC019189163;NO;SERVICE REQUEST;5 - Pianificabile;2;1;31;73;147;N.A.;;17/12/2024
INC019190565;SI;SERVICE REQUEST;5 - Pianificabile;2;1;124;77;154;N.A.;;17/12/2024
INC019192275;SI;INCIDENT;4 - Basso;4;2;8;286;1147;SI;;17/12/2024
INC019193599;SI;SERVICE REQUEST;5 - Pianificabile;6;3;15;194;1166;N.A.;;17/12/2024
INC019194645;SI;SERVICE REQUEST;5 - Pianificabile;2;1;14;8;17;N.A.;;17/12/2024
INC019197218;SI;SERVICE REQUEST;5 - Pianificabile;2;1;9;56;113;N.A.;;18/12/2024
INC019198377;SI;SERVICE REQUEST;5 - Pianificabile;2;1;41;21;42;N.A.;;18/12/2024
INC019199109;SI;SERVICE REQUEST;5 - Pianificabile;2;1;21;17;34;N.A.;;18/12/2024
INC019199987;SI;SERVICE REQUEST;5 - Pianificabile;2;1;49;103;206;N.A.;;18/12/2024
INC019200071;SI;SERVICE REQUEST;5 - Pianificabile;2;1;2;10;21;N.A.;;18/12/2024
INC019201538;SI;SERVICE REQUEST;5 - Pianificabile;2;1;28;2163;4327;N.A.;;18/12/2024
INC019202145;SI;SERVICE REQUEST;5 - Pianificabile;2;1;12;2973;5946;N.A.;;18/12/2024
INC019202658;NO;INCIDENT;5 - Pianificabile;8;4;215;122;981;SI;;18/12/2024
INC019204064;SI;SERVICE REQUEST;5 - Pianificabile;2;1;2;62;125;N.A.;;18/12/2024
INC019204988;SI;SERVICE REQUEST;5 - Pianificabile;2;1;22;538;1077;N.A.;;18/12/2024
INC019205528;SI;SERVICE REQUEST;5 - Pianificabile;4;2;11;1211;4845;N.A.;;18/12/2024
INC019206207;SI;SERVICE REQUEST;5 - Pianificabile;7;2;10;6;33;N.A.;;18/12/2024
INC019212375;NO;SERVICE REQUEST;5 - Pianificabile;6;3;35;42;253;N.A.;;19/12/2024
INC019213359;SI;SERVICE REQUEST;5 - Pianificabile;2;1;17;65;131;N.A.;;19/12/2024
INC019215075;SI;SERVICE REQUEST;5 - Pianificabile;4;2;43;26;106;N.A.;;19/12/2024
INC019215452;SI;SERVICE REQUEST;5 - Pianificabile;2;1;3;2;4;N.A.;;19/12/2024
INC019218237;SI;SERVICE REQUEST;3 - Moderato;2;1;29;15;30;N.A.;;19/12/2024
INC019219223;NO;SERVICE REQUEST;4 - Basso;5;2;12;12;49;N.A.;;19/12/2024
INC019223860;SI;SERVICE REQUEST;3 - Moderato;6;1;17;7;29;N.A.;;20/12/2024
INC019224403;SI;SERVICE REQUEST;5 - Pianificabile;2;1;16;2315;4631;N.A.;;20/12/2024
INC019224870;SI;SERVICE REQUEST;5 - Pianificabile;2;1;4;2161;4322;N.A.;;20/12/2024
INC019225058;NO;SERVICE REQUEST;5 - Pianificabile;4;1;2;105;315;N.A.;;20/12/2024
INC019229501;SI;INCIDENT;5 - Pianificabile;2;1;23;106;212;SI;;20/12/2024
INC019234759;NO;SERVICE REQUEST;5 - Pianificabile;2;1;2;20;41;N.A.;;20/12/2024
INC019240776;SI;SERVICE REQUEST;5 - Pianificabile;4;2;25;69;279;N.A.;;23/12/2024
INC019243913;NO;SERVICE REQUEST;5 - Pianificabile;4;2;2;295;1180;N.A.;;23/12/2024
INC019244552;SI;SERVICE REQUEST;5 - Pianificabile;2;1;6;10;21;N.A.;;23/12/2024
INC019245692;SI;SERVICE REQUEST;5 - Pianificabile;2;1;42;90;181;N.A.;;23/12/2024
INC019247381;SI;SERVICE REQUEST;5 - Pianificabile;2;1;104;61;122;N.A.;;23/12/2024
INC019248202;SI;SERVICE REQUEST;5 - Pianificabile;2;1;11;10;20;N.A.;;23/12/2024
INC019252275;NO;SERVICE REQUEST;5 - Pianificabile;2;1;848;471;942;N.A.;;23/12/2024
INC019256049;SI;SERVICE REQUEST;5 - Pianificabile;2;1;43;2049;4098;N.A.;;24/12/2024
INC019259159;SI;SERVICE REQUEST;5 - Pianificabile;2;1;21;2077;4155;N.A.;;24/12/2024
INC019269603;SI;SERVICE REQUEST;5 - Pianificabile;2;1;29;93;187;N.A.;;27/12/2024
INC019272918;NO;SERVICE REQUEST;5 - Pianificabile;2;1;2;3;7;N.A.;;27/12/2024
INC019280044;SI;SERVICE REQUEST;5 - Pianificabile;2;1;4;10;20;N.A.;;30/12/2024
